k,r,p
250,-0.9064292671196283,0.09357073288037165
350,-0.8208383117812689,0.17916168821873102
450,-0.6185260319700701,0.38147396802992994
500,-0.5651461340547195,0.4348538659452805
600,-0.0918760390279706,0.9081239609720293
