layer,mod,ssr
0,0,-476615484.0
1,0,-352246088.0
2,0,-372022640.0
3,0,-387437600.0
4,0,-385748012.0
5,0,-374366916.0
6,0,-372926386.0
7,0,-375330676.0
8,0,-355811904.0
