k,r,p
250,-0.9867706164389727,0.10366803764295698
350,-0.9999428162695715,0.006808217665524728
450,-0.9999530144847646,0.006171330681956523
500,-0.9997833305325672,0.013252622294533927
600,-0.9284821619392891,0.24222850479517577
