layer,mod,ssr
0,0,-476615484.0
1,0,-348768232.0
2,0,-349376298.0
3,0,-323758190.0
4,0,-332033718.0
5,0,-333588668.0
6,0,-311766748.0
7,0,-311782774.0
8,0,-311782774.0
9,0,-311782774.0
10,0,-311782774.0
