k,r,p
250,-0.4770210540549295,0.2790840888861
350,-0.592823195383106,0.1606781617310844
450,-0.6654051284225261,0.10282832265121088
500,-0.6841399778165682,0.090043112766786
600,-0.8635809868743445,0.012250133274528804
