k,r,p
250,-0.12815719863557962,0.8372729648306318
350,-0.2507600941036516,0.6841006867764121
450,-0.4009403726314312,0.5035344598363372
500,-0.4603176095105387,0.43531707128624814
600,-0.6401485209393903,0.24465928015424268
