layer,mod,ssr
0,0,-476615484.0
1,0,-373623586.0
2,0,-360645998.0
3,0,-353644630.0
4,0,-345254264.0
5,0,-334324534.0
6,0,-333053198.0
7,0,-333054880.0
8,0,-333054880.0
9,0,-333054880.0
