layer,mod,ssr
2,0,-274373.0
3,0,251280.0
4,0,-186312.0
5,0,188072.0
6,0,-41255.0
7,0,522330.0
8,0,324855.0
9,0,31442.0
10,0,-1525.0
11,0,-1131.0
