layer,mod,ssr
2,0,-64490.0
3,0,502724.0
4,0,-221808.0
5,0,392466.0
6,0,-4112.0
7,0,798640.0
8,0,996228.0
9,0,185347.0
10,0,-2497.0
11,0,-283.0
