layer,mod,ssr
1,0,-596625284.0
2,0,-611711218.0
3,0,-665692836.0
4,0,-670125492.0
5,0,-652040452.0
6,0,-634141750.0
7,0,-644578848.0
8,0,-621607466.0
9,0,-619746576.0
10,0,-620540564.0
