layer,mod,ssr
1,0,-184870366.0
2,0,-182604304.0
3,0,-190688336.0
4,0,-191052588.0
5,0,-189745862.0
6,0,-183121260.0
7,0,-184703918.0
8,0,-175125704.0
9,0,-171869440.0
10,0,-171981800.0
