k,r,p
250,-0.09887077865355123,0.785822028571023
350,-0.05453870356404592,0.8810508175301606
450,-0.10883715363925879,0.7647189368282019
500,-0.2823209621426155,0.42933758377948783
600,-0.565433025775533,0.08848114259514728
