layer,mod,ssr
0,0,-476615484.0
1,0,-338313320.0
2,0,-339773618.0
3,0,-311162310.0
4,0,-311048642.0
5,0,-311314054.0
6,0,-311308230.0
7,0,-311308472.0
8,0,-311308472.0
9,0,-311308472.0
10,0,-311308472.0
