k,r,p
250,-0.9040332344043999,0.28118456532566766
350,-0.9737968391152991,0.14605784055132964
450,-0.999273514697928,0.024268047304368583
500,-0.9976612885753863,0.04354799019838708
600,-0.9889329183214433,0.09480102316249854
