layer,mod,ssr
1,0,-513112398.0
2,0,-496027680.0
3,0,-494603224.0
4,0,-495076808.0
5,0,-495644040.0
6,0,-496002998.0
7,0,-495993270.0
8,0,-495993270.0
9,0,-495993270.0
10,0,-495993270.0
11,0,-495993270.0
