k,r,p
250,-0.9926553585507071,1.4444709340545049e-09
350,-0.9997422857956325,4.143590793578585e-16
450,-0.9953212315030593,1.9058757097467745e-10
500,-0.988184990961645,1.2190024142515553e-08
600,-0.9906106814689151,4.349296383025479e-09
