layer,mod,ssr
1,0,1815619.0
2,0,-619403.0
3,0,-130004.0
4,0,1260297.0
5,0,-552307.0
6,0,826128.0
7,0,395506.0
8,0,295157.0
9,0,-607.0
10,0,-8011.0
11,0,-222.0
