layer,mod,ssr
1,0,-1017388392.0
2,0,-1118881968.0
3,0,-1205035798.0
4,0,-1229579618.0
5,0,-1299449452.0
6,0,-1323658872.0
7,0,-1319121926.0
8,0,-1319136008.0
