k,r,p
250,0.27976208027059946,0.5021735590329013
350,0.041805975785428884,0.9217050799645589
450,-0.38553995490210025,0.3455520989007089
500,-0.5560349016060274,0.15239297108792135
600,-0.7764980944769396,0.023441963027678692
