k,r,p
250,-0.44259176687062224,0.2721445071804758
350,-0.5947109288491791,0.11994230351483443
450,-0.8537423640239739,0.006988721463098788
500,-0.8813976378630531,0.0038086060349301343
600,-0.8470283118437394,0.00795367952236536
