layer,mod,ssr
1,0,-974873182.0
2,0,-1089229846.0
3,0,-1147648032.0
4,0,-1197223146.0
5,0,-1213045880.0
6,0,-1182401946.0
7,0,-1190825012.0
8,0,-1200656948.0
