layer,mod,ssr
0,0,-476615484.0
1,0,-357167364.0
2,0,-374863798.0
3,0,-386585552.0
4,0,-376124736.0
5,0,-356975204.0
6,0,-357879562.0
7,0,-358461852.0
8,0,-358959898.0
