k,r,p
250,-0.9936434800889434,7.088251468583701e-09
350,-0.9960087151614275,1.1049620232825544e-09
450,-0.9710149351109101,2.9818701390185263e-06
500,-0.934433789553637,7.466408014853824e-05
600,-0.8586636446414547,0.001466787967999164
