k,r,p
250,-0.46253866000307375,0.15199953269538205
350,-0.8867186251217978,0.00027488791893496103
450,-0.8100477763207999,0.00250506601282973
500,-0.7463743957943878,0.008330205581884487
600,-0.7712866111921386,0.005440073416022618
