layer,mod,ssr
2,0,-100470.0
3,0,1038623.0
4,0,1339918.0
5,0,1235234.0
6,0,727026.0
7,0,167321.0
8,0,-5371.0
9,0,-10080.0
10,0,-157.0
11,0,-18.0
12,0,0.0
