layer,mod,ssr
1,0,-560283566.0
2,0,-604679494.0
3,0,-632276018.0
4,0,-659920466.0
5,0,-647969266.0
6,0,-650737228.0
7,0,-648516126.0
8,0,-647440384.0
9,0,-647580328.0
10,0,-647791652.0
11,0,-647892306.0
