layer,mod,ssr
1,0,3985573.0
2,0,18199.0
3,0,1775.0
4,0,1333.0
5,0,-75.0
6,0,-13.0
7,0,0.0
8,0,0.0
9,0,0.0
10,0,0.0
11,0,0.0
12,0,0.0
