k,r,p
250,-0.5499132208319448,0.336922409806806
350,-0.8041983759609319,0.10089575061973412
450,-0.8444520391503574,0.07189994458674735
500,-0.7775812915704164,0.12163061152866521
600,-0.6316869055514093,0.25297385888513146
