k,r,p
250,-0.20648885038623016,0.6946688236047337
350,-0.39643411310740345,0.4365006241431648
450,-0.6198145929149365,0.1893352368686429
500,-0.7136232497220855,0.11127435073168093
600,-0.7911838166417778,0.06085366650092875
